ROI	structure_id	Structure	GN_Symbol	ARA_abbrev	ontology_volume	centroid_PA	ontology_level	ontology_order_GN_Symbol	ontology_most_child	length_of_bar	start_of_bar	L_Vertex	R_Vertex
83	178	LGV__Ventral_lateral_geniculate_nucleus_left	LGV-L	LGv	0.245804625	-0.811638793920171	7	VGG-B-TPA-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	104	83	263
77	218	LPT__Lateral_posterior_thalamic_nucleus_left	LPT-L	LP	0.518531625	-0.655499775447639	7	LAT-B-TPA-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	105	77	257
78	1020	POT__Posterior_nucleus_of_the_thalamus_left	POT-L	PO	0.581421375	-0.321250921502497	7	LAT-B-TPA-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	106	78	258
75	560581563	PIT__Posterior_intralaminar_thalamic_nucleus_left	PIT-L	PIL	0.096055875	-1.71788447349004	7	ILM-B-TPA-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	107	75	255
74	930	PFT__Parafascicular_thalamic_nucleus_left	PFT-L	PF	0.222267375	-0.669814446452159	7	ILM-B-TPA-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	108	74	254
71	575	CLT__Central_lateral_nucleus_left	CLT-L	CL	0.15900975	0.00674162669270473	7	ILM-B-TPA-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	109	71	251
73	907	PCN__Paracentral_nucleus_left	PCN-L	PCN	0.115320375	0.0739218297287039	7	ILM-B-TPA-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	110	73	253
72	599	CMT__Centromedian_nucleus_left	CMT-L	CM	0.10727775	0.254505442647707	7	ILM-B-TPA-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	111	72	252
85	186	LHB__Lateral_habenula_left	LHB-L	LH	0.139633875	-0.119981509680224	7	EPI-B-TPA-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	112	85	265
86	483	MHB__Medial_habenula_left	MHB-L	MH	0.123406875	0.0169863257213194	7	EPI-B-TPA-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	113	86	266
76	362	MDT__Mediodorsal_nucleus_of_thalamus_left	MDT-L	MD	0.617965875	0.134400740574874	7	MED-B-TPA-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	114	76	256
84	262	RTT__Reticular_thalamic_nucleus_left	RTT-L	RT	0.74056275	0.525534986738128	6	TPA-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	115	84	264
62	155	LDT__Lateral_dorsal_nucleus_of_the_thalamus_left	LDT-L	LD	0.383248125	0.285934833340674	7	ANT-B-TPA-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	116	62	242
60	64	ADT__Anterodorsal_thalamic_nucleus_left	ADT-L	AD	0.057459375	0.876919823788548	7	ANT-B-TPA-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	117	60	240
59	127	AMT__Anteromedial_thalmic_nucleus_left	AMT-L	AM	0.22135275	0.906607126520905	7	ANT-B-TPA-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	118	59	239
61	255	AVT__Anteroventral_thalamic_nucleus_left	AVT-L	AV	0.200181375	0.956864599666178	7	ANT-B-TPA-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	119	61	241
69	149	PVT__Paraventricular_nucleus_of_the_thalamus_left	PVT-L	PVT	0.19281375	0.632959828461406	7	MTN-B-TPA-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	120	69	249
70	181	NRT__Nucleus_of_reuniens_of_the_thalamus_left	NRT-L	RE	0.213462	0.697612651783457	7	MTN-B-TPA-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	121	70	250
68	15	PTT__Paratenial_nucleus_of_the_thalamus_left	PTT-L	PT	0.118229625	1.17334546544489	7	MTN-B-TPA-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	122	68	248
52	1031	GPI__Globus_pallidus_internal_left	GPI-L	GPi	0.172101375	0.351957131370973	6	PAD-B-PAL-B-CEN-B-CER-B-GRY-B-BRN-B	1	1	123	52	232
51	1022	GPE__Globus_pallidus_external_left	GPE-L	GPe	0.64264725	0.865389808522483	6	PAD-B-PAL-B-CEN-B-CER-B-GRY-B-BRN-B	1	1	124	51	231
56	351	BST__Bed_nucleus_of_the_stria_terminalis_right	BST-R	BST	0.641358	1.69153384693104	6	PAC-B-PAL-B-CEN-B-CER-B-GRY-B-BRN-B	1	1	125	56	236
57	298	NBM__Nucleus_basalis_left	NBM-L	MA	0.160120125	1.67908311025863	6	PAV-B-PAL-B-CEN-B-CER-B-GRY-B-BRN-B	1	1	126	57	237
53	342	SIN__Substantia_innominata_left	SIN-L	SI	1.454328	2.10338463537799	6	PAV-B-PAL-B-CEN-B-CER-B-GRY-B-BRN-B	1	1	127	53	233
54	904	MSN__Medial_septal_nucleus_left	MSN-L	MSC	0.49005675	2.32654326386689	6	PAM-B-PAL-B-CEN-B-CER-B-GRY-B-BRN-B	1	1	128	54	234
39	403	MEA__Medial_amygdala_left	MEA-L	MEA	0.78203475	0.156472850151481	6	SLA-B-STR-B-CEN-B-CER-B-GRY-B-BRN-B	1	1	129	39	219
37	536	CEA__Central_nucleus_of_the_amygdala_left	CEA-L	CEA	0.6284925	0.375120260981637	6	SLA-B-STR-B-CEN-B-CER-B-GRY-B-BRN-B	1	1	130	37	217
38	-199964	SLA__Striatum_like_amygdalar_nuclei_uncharted_left		sAMY	0.3151305	1.05196729212184	6	SLA-B-STR-B-CEN-B-CER-B-GRY-B-BRN-B	1	1	131	38	218
47	485	STD__Striatum_dorsal_left	STD-L	STRd	11.8813095	1.73196063473685	5	STR-B-CEN-B-CER-B-GRY-B-BRN-B	1	1	132	47	227
46	-530681	STR__Striatum_uncharted_left		STR	1.23153075	1.80420581916042	5	STR-B-CEN-B-CER-B-GRY-B-BRN-B	1	1	133	46	226
